label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62
peace_sign,0.0,0.0,0.0,0.11580757051706314,-0.14308799803256989,0.0048095160163939,0.1434728354215622,-0.39548343420028687,0.015156549401581287,0.1618117094039917,-0.5540397763252258,0.01284559816122055,0.20601631700992584,-0.674394428730011,0.009563109837472439,0.021408408880233765,-0.6031295657157898,0.03212973475456238,0.05219855159521103,-0.7933712601661682,-0.02427162602543831,0.15272486209869385,-0.8835251927375793,-0.07364386320114136,0.2556867003440857,-0.9145936369895935,-0.10396792739629745,-0.033295124769210815,-0.6036491394042969,-0.0038323092740029097,-0.0035602664574980736,-0.8381946086883545,-0.05968141928315163,0.11880474537611008,-0.9338949918746948,-0.10402785986661911,0.24670907855033875,-0.9614112377166748,-0.12895719707012177,-0.08173760771751404,-0.5606551170349121,-0.0483870729804039,-0.0665120780467987,-0.825738787651062,-0.11476553976535797,0.0583740659058094,-0.9353649616241455,-0.1558806300163269,0.19090545177459717,-0.9816084504127502,-0.17456449568271637,-0.12293809652328491,-0.48057785630226135,-0.09301602095365524,-0.08475702255964279,-0.6852719187736511,-0.16026005148887634,0.006822402123361826,-0.7960149049758911,-0.19451621174812317,0.11057144403457642,-0.8539034128189087,-0.21056795120239258
peace_sign,0.0,0.0,0.0,-0.12968136370182037,-0.06884362548589706,-0.022836647927761078,-0.21611285209655762,-0.22088290750980377,-0.03751177340745926,-0.24473464488983154,-0.3719198703765869,-0.066243477165699,-0.2252652496099472,-0.48586156964302063,-0.09354033321142197,-0.22917085886001587,-0.4245538115501404,0.01750347390770912,-0.32403936982154846,-0.5929652452468872,-0.016078628599643707,-0.3799632489681244,-0.693663477897644,-0.03900434076786041,-0.4238574504852295,-0.7822893857955933,-0.05481720343232155,-0.16035833954811096,-0.47010448575019836,-0.00943051278591156,-0.21879956126213074,-0.7126383185386658,-0.05330835282802582,-0.26421529054641724,-0.8468639254570007,-0.08676296472549438,-0.2954143285751343,-0.9553691744804382,-0.10443722456693649,-0.08113806694746017,-0.4706721305847168,-0.043444596230983734,-0.14410236477851868,-0.6480938792228699,-0.11497735232114792,-0.16617725789546967,-0.5126245617866516,-0.12526795268058777,-0.1642722636461258,-0.39071032404899597,-0.11028143018484116,0.0015867700567469,-0.44369322061538696,-0.07930254936218262,-0.07169082760810852,-0.5632140636444092,-0.1290416717529297,-0.09890380501747131,-0.46670183539390564,-0.12138495594263077,-0.09923472255468369,-0.36216479539871216,-0.1035260409116745
peace_sign,0.0,0.0,0.0,-0.14712131023406982,-0.05576147884130478,-0.029689846560359,-0.2421136498451233,-0.1757902204990387,-0.054121509194374084,-0.295392781496048,-0.33645787835121155,-0.09361445903778076,-0.27380016446113586,-0.4426446259021759,-0.12934371829032898,-0.2955302298069,-0.38747942447662354,0.01875709369778633,-0.4259506165981293,-0.5412830114364624,-0.019203320145606995,-0.49511685967445374,-0.6259682178497314,-0.051729314029216766,-0.5516857504844666,-0.7045366168022156,-0.07929198443889618,-0.22835218906402588,-0.4502238631248474,-0.008289292454719543,-0.32093483209609985,-0.6820321679115295,-0.05967254564166069,-0.37090417742729187,-0.79901123046875,-0.10697866976261139,-0.4067387878894806,-0.9135445356369019,-0.13972170650959015,-0.1464676558971405,-0.4621763527393341,-0.04245224595069885,-0.2278088629245758,-0.6536659002304077,-0.1077546700835228,-0.22081230580806732,-0.49394679069519043,-0.1035526767373085,-0.1979912370443344,-0.36899977922439575,-0.08401301503181458,-0.05217112600803375,-0.4423571527004242,-0.08171217888593674,-0.1295151263475418,-0.5584158301353455,-0.12596453726291656,-0.13960076868534088,-0.4559827446937561,-0.11259160935878754,-0.12473789602518082,-0.357170045375824,-0.09354780614376068
peace_sign,0.0,0.0,0.0,-0.14046655595302582,-0.045316413044929504,-0.034550741314888,-0.24604159593582153,-0.16415287554264069,-0.06091146171092987,-0.2982484996318817,-0.3101501166820526,-0.10139571875333786,-0.28367879986763,-0.42400580644607544,-0.1390407532453537,-0.3015254735946655,-0.38946881890296936,0.006107883062213659,-0.4304829239845276,-0.5257407426834106,-0.03812732920050621,-0.5057168006896973,-0.6061148643493652,-0.07316850125789642,-0.5681962966918945,-0.6822394132614136,-0.10091746598482132,-0.2353581041097641,-0.451826810836792,-0.021511035040020943,-0.33169373869895935,-0.6777913570404053,-0.08030296862125397,-0.39183276891708374,-0.796151340007782,-0.1288936734199524,-0.43147528171539307,-0.90212482213974,-0.1596313714981079,-0.15197327733039856,-0.46268168091773987,-0.056331563740968704,-0.23541349172592163,-0.6433405876159668,-0.13346466422080994,-0.22335053980350494,-0.48056167364120483,-0.13246898353099823,-0.19385437667369843,-0.3526807427406311,-0.11082126945257187,-0.05679557844996452,-0.44179147481918335,-0.09552886337041855,-0.13596811890602112,-0.5485320091247559,-0.1468682438135147,-0.1416834145784378,-0.4413754343986511,-0.13224449753761292,-0.12229728698730469,-0.34047630429267883,-0.10987856239080429
open_palm,0.0,0.0,0.0,0.1335962563753128,-0.07310496270656586,-0.05754225328564644,0.24991942942142487,-0.1835792064666748,-0.09702850133180618,0.3573701083660126,-0.2669147849082947,-0.13622191548347473,0.45729997754096985,-0.2954625189304352,-0.17573635280132294,0.18567201495170593,-0.4776933491230011,-0.05027495324611664,0.228319451212883,-0.6645087003707886,-0.09084014594554901,0.24174953997135162,-0.7814784646034241,-0.12468651682138443,0.24743281304836273,-0.8795773983001709,-0.15081799030303955,0.10004863888025284,-0.5119591951370239,-0.061582308262586594,0.13277357816696167,-0.7346175909042358,-0.0958837941288948,0.15026946365833282,-0.8727052807807922,-0.12475527077913284,0.16260923445224762,-0.9866905212402344,-0.1467408984899521,0.014250550419092178,-0.4975750744342804,-0.08149214833974838,0.02009492740035057,-0.7071724534034729,-0.11989527940750122,0.025137491524219513,-0.8399062752723694,-0.1512317657470703,0.03193807974457741,-0.9455524682998657,-0.17334838211536407,-0.07287268340587616,-0.4387856721878052,-0.10736443102359772,-0.1272217184305191,-0.5919448733329773,-0.14740905165672302,-0.16246892511844635,-0.6969384551048279,-0.1685417890548706,-0.18792365491390228,-0.7920308709144592,-0.1819932609796524
open_palm,0.0,0.0,0.0,0.13067899644374847,-0.07957353442907333,-0.06728783249855042,0.24591323733329773,-0.19566817581653595,-0.11230819672346115,0.3586399257183075,-0.283416748046875,-0.1555425375699997,0.46738073229789734,-0.31435078382492065,-0.19902066886425018,0.17560507357120514,-0.49672752618789673,-0.05931323021650314,0.21781904995441437,-0.6905818581581116,-0.10182192921638489,0.23273438215255737,-0.8132036328315735,-0.13664358854293823,0.24072487652301788,-0.9155692458152771,-0.16385160386562347,0.08753296732902527,-0.5262238383293152,-0.06643036007881165,0.11859011650085449,-0.744823694229126,-0.10163892060518265,0.13867592811584473,-0.8779052495956421,-0.1304420530796051,0.15615350008010864,-0.9877328276634216,-0.15236273407936096,-0.0005425411509349942,-0.5061476230621338,-0.08284726738929749,0.0004097658966202289,-0.7135137319564819,-0.1213143989443779,0.0029889203142374754,-0.8483965992927551,-0.1525643765926361,0.011267597787082195,-0.9601828455924988,-0.17533838748931885,-0.08879216760396957,-0.4389308989048004,-0.10615045577287674,-0.15009519457817078,-0.5833239555358887,-0.1462591588497162,-0.18975377082824707,-0.6817077398300171,-0.16697722673416138,-0.21817947924137115,-0.7730168104171753,-0.1802934855222702
open_palm,0.0,0.0,0.0,0.13120190799236298,-0.07479844987392426,-0.0628281980752945,0.24508608877658844,-0.18146173655986786,-0.10551376640796661,0.3520923852920532,-0.263273149728775,-0.1473115086555481,0.449344664812088,-0.29987388849258423,-0.1897500604391098,0.17744584381580353,-0.47802865505218506,-0.05799969658255577,0.21976488828659058,-0.667199969291687,-0.10087518393993378,0.23738279938697815,-0.7857948541641235,-0.1357283890247345,0.24680006504058838,-0.8867604732513428,-0.16275013983249664,0.09220261871814728,-0.5115324258804321,-0.06826485693454742,0.12221275269985199,-0.7354913949966431,-0.10437411814928055,0.13870520889759064,-0.8737646341323853,-0.1341998279094696,0.15018673241138458,-0.9886577129364014,-0.1569913774728775,0.005864082835614681,-0.4940408766269684,-0.08735290169715881,0.009438253939151764,-0.7040920257568359,-0.12741674482822418,0.010463809594511986,-0.8375236392021179,-0.16034522652626038,0.014977071434259415,-0.946241021156311,-0.18402281403541565,-0.08207131922245026,-0.4296732246875763,-0.11271540820598602,-0.14216366410255432,-0.5716641545295715,-0.15441694855690002,-0.1825333684682846,-0.6679777503013611,-0.17611032724380493,-0.21284477412700653,-0.7561175227165222,-0.19015727937221527
open_palm,0.0,0.0,0.0,0.1293301284313202,-0.07456446439027786,-0.06390442699193954,0.24532350897789001,-0.18366433680057526,-0.10658784955739975,0.3553355038166046,-0.26245230436325073,-0.14756999909877777,0.45382827520370483,-0.2962603271007538,-0.1888347864151001,0.17876705527305603,-0.4861977994441986,-0.06033574417233467,0.2202286422252655,-0.6779040098190308,-0.10252124816179276,0.2359459102153778,-0.7998932600021362,-0.13636109232902527,0.2446712851524353,-0.9029101729393005,-0.16255410015583038,0.09141995757818222,-0.517310619354248,-0.06881556659936905,0.12298683822154999,-0.7382763028144836,-0.10394557565450668,0.1418100744485855,-0.8737007975578308,-0.13228246569633484,0.1568215936422348,-0.9876269698143005,-0.15364563465118408,0.0025840678717941046,-0.49876850843429565,-0.08602844178676605,0.005691399797797203,-0.7063458561897278,-0.12575650215148926,0.009173366241157055,-0.8424671292304993,-0.15818145871162415,0.01618795096874237,-0.9550453424453735,-0.18110111355781555,-0.0865723043680191,-0.43415412306785583,-0.10954021662473679,-0.14654773473739624,-0.5774697661399841,-0.15161053836345673,-0.18674565851688385,-0.6759986877441406,-0.17383572459220886,-0.21667714416980743,-0.7686648368835449,-0.18769241869449615
open_palm,0.0,0.0,0.0,0.13667188584804535,-0.07658970355987549,-0.06846167147159576,0.2575465142726898,-0.1868526190519333,-0.11525999754667282,0.3729340434074402,-0.263232946395874,-0.16005147993564606,0.4788026213645935,-0.29412201046943665,-0.20513437688350677,0.1933986246585846,-0.5062772035598755,-0.06262224167585373,0.23570801317691803,-0.7053332328796387,-0.10605940967798233,0.2503622770309448,-0.8340834379196167,-0.1415865123271942,0.25753509998321533,-0.9416687488555908,-0.17016030848026276,0.10102314502000809,-0.5370823740959167,-0.07083641737699509,0.13561366498470306,-0.7566777467727661,-0.10752920806407928,0.15693353116512299,-0.88264000415802,-0.13773541152477264,0.17465101182460785,-0.9846304059028625,-0.16135868430137634,0.0064564174972474575,-0.5179328322410583,-0.08853766322135925,0.010181231424212456,-0.7341633439064026,-0.13009555637836456,0.012517395429313183,-0.8760883212089539,-0.16460919380187988,0.020197313278913498,-0.9944121837615967,-0.1900871843099594,-0.08874054253101349,-0.4517210125923157,-0.11289011687040329,-0.15145361423492432,-0.604377806186676,-0.15721647441387177,-0.19348101317882538,-0.7078042030334473,-0.18134883046150208,-0.22355368733406067,-0.8053476214408875,-0.19729402661323547
open_palm,0.0,0.0,0.0,0.127783864736557,-0.07320400327444077,-0.06489928811788559,0.2449619472026825,-0.18111106753349304,-0.1075955480337143,0.35771915316581726,-0.25254154205322266,-0.14836052060127258,0.4574951231479645,-0.2887495458126068,-0.18926934897899628,0.17916707694530487,-0.4913497567176819,-0.058645978569984436,0.22116371989250183,-0.6851683259010315,-0.09975733608007431,0.23761841654777527,-0.8074892163276672,-0.13334889709949493,0.24708591401576996,-0.9105245471000671,-0.1597800850868225,0.09222597628831863,-0.5218557715415955,-0.0667397603392601,0.12598124146461487,-0.7429900765419006,-0.10086027532815933,0.14756149053573608,-0.876318633556366,-0.12970684468746185,0.1652112454175949,-0.9862581491470337,-0.15172885358333588,0.0029216003604233265,-0.5024725794792175,-0.08386597782373428,0.007522450760006905,-0.7139770984649658,-0.12362054735422134,0.010315384715795517,-0.8509326577186584,-0.15743771195411682,0.017044004052877426,-0.9657021164894104,-0.18146392703056335,-0.08660818636417389,-0.43640536069869995,-0.10723822563886642,-0.14757610857486725,-0.5821520686149597,-0.15089622139930725,-0.18882355093955994,-0.680194079875946,-0.174642413854599,-0.21956264972686768,-0.7748018503189087,-0.1894969791173935
